horizon,variant,fold_id,candidate,n_validation,balanced_accuracy,macro_f1,roc_auc,train_start_row,train_end_row,validation_start_row,validation_end_row,n_train_raw,n_train,purged_count,embargoed_count
5,dfa_hurst_with_meta,wf_01,hist_gradient_boosting,579,0.5046659824816822,0.41276212787840694,0.5323277405188668,40,319,325,903,285,280,5,0
5,dfa_hurst_with_meta,wf_02,logistic_c02,578,0.5308096892491797,0.5301514039804054,0.5338255163095927,40,898,904,1481,864,859,5,0
5,dfa_hurst_with_meta,wf_02,logistic_c10,578,0.540026056745802,0.5396360248260523,0.5578676896352055,40,898,904,1481,864,859,5,0
5,dfa_hurst_with_meta,wf_02,random_forest,578,0.5122201312487937,0.512206884079812,0.5401104999034936,40,898,904,1481,864,859,5,0
5,dfa_hurst_with_meta,wf_02,extra_trees,578,0.536177861416715,0.5209105363817854,0.5723436595251882,40,898,904,1481,864,859,5,0
5,dfa_hurst_with_meta,wf_02,hist_gradient_boosting,578,0.5001326963906582,0.4965382853961441,0.5243920092646207,40,898,904,1481,864,859,5,0
5,dfa_hurst_with_meta,wf_03,logistic_c02,578,0.4575889380159843,0.45392441860465116,0.46665947733563395,40,1476,1482,2059,1442,1437,5,0
5,dfa_hurst_with_meta,wf_03,logistic_c10,578,0.46600644643349265,0.46162411444348367,0.4692596187258109,40,1476,1482,2059,1442,1437,5,0
5,dfa_hurst_with_meta,wf_03,random_forest,578,0.5170387145476114,0.4375416133162612,0.49145068718022455,40,1476,1482,2059,1442,1437,5,0
5,dfa_hurst_with_meta,wf_03,extra_trees,578,0.5095378458367782,0.4387086151685299,0.4829792587799705,40,1476,1482,2059,1442,1437,5,0
5,dfa_hurst_with_meta,wf_03,hist_gradient_boosting,578,0.5182429274955965,0.44770876791602177,0.5051104161424447,40,1476,1482,2059,1442,1437,5,0
5,dfa_hurst_with_meta,wf_04,logistic_c02,578,0.5334768674907507,0.5332963510848127,0.5546729029783337,40,2054,2060,2637,2020,2015,5,0
5,dfa_hurst_with_meta,wf_04,logistic_c10,578,0.5329076803147852,0.5328195488721805,0.550008042862269,40,2054,2060,2637,2020,2015,5,0
